iter	Accuracy	MultiClass
0	0.5356	2.103359471
1	0.6432	1.957892679
2	0.6736	1.830456404
3	0.7068	1.731331087
4	0.7332	1.639541464
5	0.8516	1.472409602
6	0.8816	1.338179066
7	0.8884	1.239136178
8	0.8944	1.152396401
9	0.8976	1.076853758
10	0.9032	1.016789029
11	0.9004	0.9543718194
12	0.9024	0.9042118776
13	0.9044	0.8603136092
14	0.9064	0.8194748252
15	0.9084	0.7854122876
16	0.908	0.7503428747
17	0.9084	0.7207673282
18	0.9084	0.6908473634
19	0.9112	0.6650782772
20	0.9136	0.644064574
21	0.9148	0.6241158749
22	0.9164	0.6067919676
23	0.9164	0.5895723417
24	0.916	0.5715028664
25	0.9164	0.5569642358
26	0.9188	0.5407897596
27	0.9204	0.5284955136
28	0.9204	0.5145679481
29	0.9216	0.5092098477
30	0.9228	0.4955012833
31	0.9276	0.4814028222
32	0.9284	0.4709479356
33	0.9288	0.4609310879
34	0.9296	0.4534701068
35	0.9308	0.4451624315
36	0.932	0.4376865061
37	0.9324	0.4295473014
38	0.9328	0.4224896822
39	0.934	0.4153889606
40	0.9376	0.4064313325
41	0.9376	0.3993250267
42	0.9384	0.3915837586
43	0.94	0.3856757653
44	0.9408	0.3810854514
45	0.9404	0.3746207408
46	0.9404	0.3688055196
47	0.9408	0.364582887
48	0.9412	0.3581367942
49	0.9416	0.3530249246
50	0.9432	0.3494619319
51	0.9428	0.3462052374
52	0.9444	0.3407642659
53	0.9444	0.3383210684
54	0.9448	0.3356943179
55	0.9448	0.3314011338
56	0.9444	0.3261218601
57	0.9456	0.3211911095
58	0.9452	0.3181855918
59	0.9448	0.3146570264
60	0.946	0.3122807303
61	0.946	0.3101036309
62	0.9472	0.3080495271
63	0.9476	0.3060206304
64	0.9468	0.3028334461
65	0.9472	0.3003839205
66	0.948	0.2972320375
67	0.9488	0.2943840803
68	0.9492	0.292398877
69	0.9504	0.2897430933
70	0.9496	0.2863164797
71	0.9508	0.2846991924
72	0.9508	0.282940005
73	0.9512	0.2806028771
74	0.9524	0.2773769171
75	0.9528	0.2752411363
76	0.9548	0.2727411775
77	0.9548	0.270990654
78	0.956	0.2685947704
79	0.9556	0.267035256
80	0.9556	0.2649030228
81	0.9552	0.2626928065
82	0.9568	0.2603732232
83	0.9572	0.2592082782
84	0.9588	0.2578322435
85	0.96	0.2559089762
86	0.9604	0.2552828801
87	0.96	0.2550524436
88	0.9604	0.2527672939
89	0.9604	0.2513703629
90	0.9604	0.2483024994
91	0.9608	0.2469183779
92	0.9604	0.2453085296
93	0.9604	0.2434437094
94	0.9604	0.2425213111
95	0.9608	0.2420966709
96	0.96	0.2401787871
97	0.96	0.2383036134
98	0.9612	0.2373113177
99	0.9616	0.2358432247
100	0.9616	0.2335490015
101	0.962	0.232797847
102	0.962	0.2319465049
103	0.9624	0.230209543
104	0.9624	0.2296536579
105	0.9628	0.2279030917
106	0.964	0.2264743618
107	0.9644	0.224367523
108	0.9644	0.22402299
109	0.9644	0.2237022514
110	0.9652	0.2217666155
111	0.9648	0.2209606462
112	0.9648	0.2202998706
113	0.9636	0.2180611749
114	0.9632	0.2171085326
115	0.9636	0.2151523085
116	0.9636	0.2148369227
117	0.9644	0.2128502607
118	0.9644	0.2119517462
119	0.964	0.2108964147
120	0.9644	0.2093665745
121	0.9644	0.2074118877
122	0.9644	0.2059953881
123	0.9652	0.2056428528
124	0.9656	0.2048792138
125	0.966	0.2033819391
126	0.966	0.2025893502
127	0.9664	0.2017642978
128	0.966	0.200708519
129	0.9664	0.1997195569
130	0.9664	0.1996564336
131	0.9664	0.1996123013
132	0.9672	0.1981733227
133	0.9672	0.1978115384
134	0.9668	0.1971116825
135	0.9668	0.1969499999
136	0.9672	0.1957449055
137	0.9676	0.1949422169
138	0.9676	0.1947824089
139	0.9692	0.1933225688
140	0.9688	0.1924651884
141	0.97	0.1908213031
142	0.97	0.1904880262
143	0.97	0.1895704277
144	0.97	0.1879966833
145	0.9704	0.1870384499
146	0.9708	0.1853305186
147	0.9708	0.1842346161
148	0.9704	0.1834588591
149	0.9708	0.1823124584
150	0.9708	0.1815516894
151	0.9716	0.180250006
152	0.9716	0.1796954181
153	0.9716	0.1785796024
154	0.9716	0.178561097
155	0.9716	0.1773686958
156	0.9716	0.1769920364
157	0.9716	0.1761032459
158	0.9716	0.1760743922
159	0.972	0.1751111828
160	0.972	0.1745287231
161	0.972	0.174506403
162	0.9724	0.173423898
163	0.9728	0.1723349032
164	0.9728	0.1722906858
