iter	Passed	Remaining
0	199	139167
1	332	116028
2	469	108990
3	601	104710
4	772	107311
5	938	108530
6	1067	105720
7	1198	103709
8	1324	101715
9	1460	100808
10	1598	100111
11	1725	98911
12	1855	98059
13	1979	96993
14	2088	95371
15	2211	94541
16	2345	94253
17	2471	93643
18	2605	93386
19	2729	92806
20	2880	93145
21	3041	93718
22	3182	93681
23	3309	93229
24	3458	93371
25	3555	92163
26	3675	91622
27	3825	91804
28	3980	92109
29	4161	92936
30	4308	92973
31	4456	93028
32	4579	92557
33	4712	92316
34	4884	92806
35	5056	93265
36	5264	94328
37	5407	94199
38	5529	93725
39	5668	93529
40	5787	93030
41	5957	93326
42	6126	93614
43	6297	93889
44	6462	94058
45	6602	93864
46	6704	93150
47	6866	93275
48	6995	92942
49	7163	93122
50	7338	93384
51	7484	93274
52	7643	93314
53	7822	93576
54	8017	94020
55	8199	94299
56	8386	94609
57	8547	94610
58	8712	94658
59	8897	94909
60	9058	94892
61	9198	94658
62	9396	95013
63	9575	95157
64	9724	94998
65	9914	95239
66	10059	95042
67	10204	94837
68	10361	94756
69	10557	95016
70	10759	95320
71	10970	95688
72	11195	96162
73	11365	96148
74	11582	96519
75	11765	96603
76	11925	96490
77	12086	96385
78	12239	96210
79	12411	96190
80	12561	95996
81	12705	95754
82	12858	95584
83	13021	95489
84	13184	95392
85	13388	95584
86	13578	95670
87	13728	95476
88	13862	95167
89	14044	95189
90	14197	95015
91	14389	95093
92	14577	95146
93	14746	95069
94	14908	94941
95	15080	94879
96	15264	94890
97	15400	94606
98	15619	94820
99	15828	94973
100	16044	95153
101	16407	96195
102	16844	97634
103	17176	98432
104	17397	98588
105	17736	99389
106	18012	99828
107	18244	100007
108	18563	100653
109	18903	101389
110	19154	101640
111	19377	101729
112	19578	101703
113	19761	101579
114	19971	101592
115	20125	101320
116	20293	101122
117	20468	100954
118	20639	100769
119	20821	100636
120	20995	100465
121	21181	100351
122	21378	100285
123	21555	100128
124	21741	100012
125	21889	99720
126	22087	99652
127	22247	99417
128	22427	99272
129	22584	99022
130	22717	98671
131	22883	98467
132	23015	98119
133	23216	98063
134	23382	97858
135	23548	97657
136	23686	97338
137	23890	97292
138	24052	97076
139	24200	96803
140	24372	96624
141	24525	96374
142	24695	96190
143	24895	96124
144	25048	95875
145	25199	95620
146	25333	95302
147	25500	95110
148	25685	94986
149	25845	94766
150	25993	94505
151	26138	94235
152	26311	94068
153	26454	93792
154	26601	93533
155	26730	93214
156	26916	93092
157	27103	92975
158	27307	92915
159	27480	92745
160	27649	92564
161	27788	92286
162	27933	92027
163	28078	91768
164	28253	91608
